problem,run,sa_value,sa_iterations,sa_time,ts_value,ts_iterations,ts_time
Sphere5,1,0.02158499634210036,1067,0.007407426834106445,5.357469631042428e-06,284,0.5605955123901367
Sphere5,2,0.15063705947058045,820,0.0020864009857177734,5.198286933385283e-06,257,0.737987756729126
Sphere5,3,0.3221431438746721,724,0.003831148147583008,2.22512200680963e-06,232,0.42908740043640137
Sphere5,4,0.07042017648306077,806,0.003614664077758789,1.9994532279490627e-06,412,0.6489171981811523
Sphere5,5,0.011437409149428875,1119,0.003512144088745117,8.079918633187311e-07,457,0.6880295276641846
TSP5,1,15.758533720546938,238,0.0012502670288085938,15.758533720546938,218,0.4898800849914551
TSP5,2,15.758533720546938,339,0.00228118896484375,15.758533720546938,214,0.4752504825592041
TSP5,3,15.758533720546938,365,0.0018973350524902344,15.758533720546938,220,0.471088171005249
TSP5,4,15.758533720546938,252,0.001524209976196289,15.758533720546938,207,0.4585306644439697
TSP5,5,15.758533720546938,210,0.0011696815490722656,15.758533720546938,204,0.40979957580566406
